node_id,region,ServerOrClientregion,cluster_id,key_file,clientID,ServerID, PublicIp
0, 'ap-south-1', 0, 0, 'FKA.pem', -1, 0,
1, 'ap-south-1', 0, 0, 'FKA.pem', -1, 1,
2, 'ap-south-1', 0, 0, 'FKA.pem', -1, 2,
3, 'ap-south-1', 0, 0, 'FKA.pem', -1, 3,
4, 'ap-south-1', 0, 0, 'FKA.pem', -1, 4,
5, 'ap-south-1', 0, 0, 'FKA.pem', -1, 5,
6, 'ap-south-1', 0, 0, 'FKA.pem', -1, 6,
7, 'ap-south-1', 0, 0, 'FKA.pem', -1, 7,
8, 'ap-south-1', 0, 1, 'FKA.pem', -1, 8,
9, 'ap-south-1', 0, 1, 'FKA.pem', -1, 9,
10, 'ap-south-1', 0, 1, 'FKA.pem', -1, 10,
11, 'ap-south-1', 0, 1, 'FKA.pem', -1, 11,
12, 'ap-south-1', 0, 1, 'FKA.pem', -1, 12,
13, 'ap-south-1', 0, 1, 'FKA.pem', -1, 13,
14, 'ap-south-1', 0, 1, 'FKA.pem', -1, 14,
15, 'ap-south-1', 0, 1, 'FKA.pem', -1, 15,
16, 'eu-central-1', 0, 2, 'FKE.pem', -1, 16,
17, 'eu-central-1', 0, 2, 'FKE.pem', -1, 17,
18, 'eu-central-1', 0, 2, 'FKE.pem', -1, 18,
19, 'eu-central-1', 0, 2, 'FKE.pem', -1, 19,
20, 'eu-central-1', 0, 2, 'FKE.pem', -1, 20,
21, 'eu-central-1', 0, 2, 'FKE.pem', -1, 21,
22, 'eu-central-1', 0, 2, 'FKE.pem', -1, 22,
23, 'eu-central-1', 0, 2, 'FKE.pem', -1, 23,
24, 'eu-central-1', 0, 3, 'FKE.pem', -1, 24,
25, 'eu-central-1', 0, 3, 'FKE.pem', -1, 25,
26, 'eu-central-1', 0, 3, 'FKE.pem', -1, 26,
27, 'eu-central-1', 0, 3, 'FKE.pem', -1, 27,
28, 'eu-central-1', 0, 3, 'FKE.pem', -1, 28,
29, 'eu-central-1', 0, 3, 'FKE.pem', -1, 29,
30, 'eu-central-1', 0, 3, 'FKE.pem', -1, 30,
31, 'eu-central-1', 0, 3, 'FKE.pem', -1, 31,
32, 'us-west-2', 0, 4, 'FKU2.pem', -1, 32,
33, 'us-west-2', 0, 4, 'FKU2.pem', -1, 33,
34, 'us-west-2', 0, 4, 'FKU2.pem', -1, 34,
35, 'us-west-2', 0, 4, 'FKU2.pem', -1, 35,
36, 'us-west-2', 0, 4, 'FKU2.pem', -1, 36,
37, 'us-west-2', 0, 4, 'FKU2.pem', -1, 37,
38, 'us-west-2', 0, 4, 'FKU2.pem', -1, 38,
39, 'us-west-2', 0, 4, 'FKU2.pem', -1, 39,
40, 'us-west-2', 0, 5, 'FKU2.pem', -1, 40,
41, 'us-west-2', 0, 5, 'FKU2.pem', -1, 41,
42, 'us-west-2', 0, 5, 'FKU2.pem', -1, 42,
43, 'us-west-2', 0, 5, 'FKU2.pem', -1, 43,
44, 'us-west-2', 0, 5, 'FKU2.pem', -1, 44,
45, 'us-west-2', 0, 5, 'FKU2.pem', -1, 45,
46, 'us-west-2', 0, 5, 'FKU2.pem', -1, 46,
47, 'us-west-2', 0, 5, 'FKU2.pem', -1, 47,
48, 'ap-south-1', 1, -1, 'FKA.pem', 0, -1,
49, 'ap-south-1', 1, -1, 'FKA.pem', 1, -1,
48, 'ap-south-1', 1, -1, 'FKA.pem', 2, -1,
49, 'ap-south-1', 1, -1, 'FKA.pem', 3, -1,
50, 'eu-central-1', 1, -1, 'FKE.pem', 4, -1,
51, 'eu-central-1', 1, -1, 'FKE.pem', 5, -1,
50, 'eu-central-1', 1, -1, 'FKE.pem', 6, -1,
51, 'eu-central-1', 1, -1, 'FKE.pem', 7, -1,
52, 'us-west-2', 1, -1, 'FKU2.pem', 8, -1,
53, 'us-west-2', 1, -1, 'FKU2.pem', 9, -1,
52, 'us-west-2', 1, -1, 'FKU2.pem', 10, -1,
53, 'us-west-2', 1, -1, 'FKU2.pem', 11, -1,
